Mf af
262.402004 0.803422
282.609827 0.820825
262.845275 0.675279
243.745463 0.698269
237.330059 0.676415
266.475298 0.728309
277.112015 0.787600
265.198615 0.704193
256.003124 0.721783
275.010546 0.772051
293.295112 0.823369
255.224896 0.734171
273.679164 0.769501
243.798507 0.754444
252.501086 0.669190
248.877970 0.687608
245.120790 0.657940
259.964839 0.739361
266.117136 0.716760
288.131131 0.837567
265.921744 0.780650
273.140014 0.772547
249.400888 0.678074
267.158261 0.769840
254.877979 0.732412
265.206994 0.703933
241.568301 0.633763
257.692259 0.661939
239.284650 0.673780
258.345712 0.703071
292.185897 0.773103
269.201920 0.725789
260.098655 0.668454
242.911497 0.633639
239.570059 0.618360
271.775674 0.807491
260.498616 0.702994
260.038919 0.770787
262.155395 0.646962
235.203270 0.571930
290.174050 0.802772
261.885115 0.727913
260.614912 0.711062
281.017572 0.755603
262.409754 0.727109
260.474863 0.743634
259.522770 0.693300
260.609111 0.750671
256.911240 0.739117
262.860128 0.684735
256.605114 0.731133
248.562156 0.661101
272.597260 0.823067
247.278113 0.636743
243.113440 0.748481
274.215433 0.723447
279.293868 0.784743
273.631034 0.706919
259.976311 0.781425
253.745840 0.718627
252.305549 0.638086
264.582387 0.783977
259.780820 0.756247
270.592373 0.776474
257.455585 0.717310
271.562336 0.736113
281.313089 0.836473
263.846841 0.699730
274.909049 0.767992
228.740122 0.626240
293.803071 0.815060
275.135955 0.807707
250.201527 0.724684
233.434897 0.641215
239.929646 0.668665
240.250521 0.661791
243.847844 0.660475
248.607828 0.631615
272.810491 0.792784
250.674078 0.708326
261.240995 0.707210
262.346340 0.752478
259.810683 0.758943
285.556775 0.822495
254.585296 0.708120
261.810060 0.770140
263.281816 0.752799
250.630243 0.690780
276.391644 0.799129
267.857694 0.795080
252.398027 0.725825
264.784739 0.741101
254.622346 0.721691
271.051169 0.753696
243.160786 0.678901
263.199874 0.729199
265.743623 0.729935
254.883549 0.704118
248.409639 0.669198
256.826356 0.726712
281.007228 0.811200
268.813893 0.760336
258.009521 0.771195
260.926142 0.767194
295.437667 0.825518
264.586529 0.783899
265.555638 0.737769
252.592750 0.696819
244.484262 0.624204
256.097708 0.755907
264.706928 0.782920
263.471154 0.718763
261.404135 0.760988
251.571428 0.657878
279.409793 0.785786
278.782544 0.819165
261.400137 0.795356
287.301147 0.807951
243.084237 0.638310
282.471374 0.823208
235.896311 0.629427
234.249222 0.631200
235.124675 0.607561
247.864837 0.654749
252.466886 0.697854
265.020778 0.765401
251.813205 0.715484
243.219053 0.674289
271.288436 0.793499
238.610153 0.609570
287.753265 0.823470
271.163715 0.823069
259.503397 0.745985
248.983738 0.689168
275.194792 0.766924
248.323587 0.661957
268.339620 0.740575
260.153453 0.748690
287.145739 0.805977
262.048231 0.771639
247.094065 0.703023
229.789442 0.622282
256.854495 0.666225
248.718610 0.752956
268.625154 0.741396
255.804115 0.737525
265.495404 0.749767
242.729698 0.698008
275.903483 0.825075
249.646410 0.662602
239.590040 0.643220
248.983213 0.714167
279.143561 0.788215
249.680264 0.803147
268.702055 0.760031
253.686931 0.671344
243.852655 0.721066
278.869983 0.774016
233.128918 0.630448
236.190133 0.642348
254.554200 0.656359
251.298026 0.668932
242.181616 0.687593
263.412657 0.701883
233.593287 0.622264
239.617331 0.653295
254.995810 0.750557
274.022469 0.770360
256.356804 0.655323
283.012204 0.815611
287.151902 0.807931
283.452563 0.840316
246.240209 0.645763
251.988662 0.725293
270.630544 0.746724
272.396835 0.778861
241.680628 0.668320
220.706934 0.546860
256.269999 0.679607
286.514143 0.796342
274.498756 0.736695
276.750719 0.811922
291.710840 0.831089
258.456707 0.715270
251.323839 0.708943
250.559319 0.675544
241.991385 0.716715
252.705129 0.686339
244.814787 0.683708
233.381622 0.552450
272.913568 0.729632
233.389991 0.668095
287.398608 0.815219
245.363725 0.679643
279.921746 0.799322
262.797406 0.706581
281.350625 0.836373
257.796653 0.716504
252.153340 0.622747
250.961861 0.713867
262.075109 0.735299
265.945117 0.673642
265.643542 0.678584
249.633041 0.726572
268.517055 0.741440
252.227714 0.662922
248.658621 0.663600
293.096968 0.833443
255.470092 0.682513
253.407685 0.800760
285.085189 0.807015
246.563826 0.632627
273.197008 0.767552
261.182380 0.705991
262.185997 0.627294
287.718897 0.806832
283.603887 0.824030
256.442580 0.692053
238.028522 0.591563
252.681097 0.626604
258.658006 0.698350
249.676542 0.728675
264.200695 0.737022
254.332390 0.693961
267.547212 0.686802
268.677821 0.691975
275.299758 0.758406
247.930641 0.694057
258.712208 0.729845
247.653449 0.683552
257.334776 0.749487
247.753080 0.696970
229.779290 0.622209
259.493554 0.714226
267.508943 0.670204
248.606539 0.652418
242.451096 0.654875
281.577725 0.836246
257.858802 0.711719
236.775304 0.649845
284.459838 0.817121
271.725577 0.771561
252.563405 0.703280
256.777388 0.713238
238.644748 0.583639
236.219480 0.614816
261.544777 0.773386
295.100922 0.823559
274.367050 0.736617
247.811999 0.694871
257.828170 0.743638
233.564014 0.622223
234.394513 0.672326
277.113310 0.797412
257.809215 0.692528
258.707439 0.709826
251.166618 0.703622
266.048241 0.705648
249.617779 0.686397
258.326383 0.731544
259.165855 0.749292
284.362579 0.784522
230.762948 0.570337
241.778200 0.659364
243.760777 0.683872
272.889832 0.757536
282.715099 0.797631
260.244465 0.723345
248.821825 0.662683
